fecha_hora,codigo,h,t,pr,vv,vv_max,dv,dv_max,p,calidad
2019-01-01 00:00:00,59.0,57.64,18.19,828.36,1.42,1.9,117.38,118.8,0.0,1.0
2019-01-01 01:00:00,59.0,59.88,17.52,827.79,1.23,1.63,111.07,111.35,0.0,1.0
2019-01-01 02:00:00,59.0,62.32,16.81,827.3,0.82,1.1,100.28,99.28,0.0,1.0
2019-01-01 03:00:00,59.0,62.42,16.57,827.27,0.83,1.08,91.83,92.37,0.0,1.0
2019-01-01 04:00:00,59.0,64.37,16.39,827.76,0.88,1.19,91.53,91.37,0.0,1.0
2019-01-01 05:00:00,59.0,64.48,16.07,828.23,0.74,0.99,87.55,88.2,0.0,1.0
2019-01-01 06:00:00,59.0,66.24,15.66,828.77,0.76,1.03,100.05,93.15,0.0,1.0
2019-01-01 07:00:00,59.0,60.99,16.48,829.2,1.04,1.42,114.83,126.18,0.0,1.0
2019-01-01 08:00:00,59.0,51.09,19.43,829.32,0.82,1.39,186.55,187.45,0.0,1.0
2019-01-01 09:00:00,59.0,43.54,21.95,829.02,0.78,1.46,242.32,243.6,0.0,1.0
2019-01-01 10:00:00,59.0,35.65,23.75,828.38,1.52,2.48,252.38,253.18,0.0,1.0
2019-01-01 11:00:00,59.0,28.12,26.46,827.23,2.28,3.49,259.55,261.1,0.0,1.0
2019-01-01 12:00:00,59.0,20.69,28.35,826.1,3.58,5.56,143.82,143.3,0.0,1.0
2019-01-01 13:00:00,59.0,20.53,28.16,825.12,4.35,7.34,116.73,113.15,0.0,1.0
2019-01-01 14:00:00,59.0,21.72,28.46,824.71,3.23,5.66,147.5,141.88,0.0,1.0
2019-01-01 15:00:00,59.0,22.9,28.43,824.59,2.45,3.83,187.77,186.33,0.0,1.0
2019-01-01 16:00:00,59.0,22.21,28.12,824.8,3.02,5.04,157.55,139.63,0.0,1.0
2019-01-01 17:00:00,59.0,24.57,27.12,825.3,2.89,4.2,225.9,221.37,0.0,1.0
2019-01-01 18:00:00,59.0,35.02,24.75,826.09,3.19,4.5,120.5,140.17,0.0,1.0
2019-01-01 19:00:00,59.0,49.98,22.4,827.2,6.16,7.78,54.4,52.5,0.0,1.0
2019-01-01 20:00:00,59.0,54.79,21.4,828.11,4.72,6.02,67.32,66.3,0.0,1.0
2019-01-01 21:00:00,59.0,56.28,20.81,828.67,2.45,3.14,115.17,114.58,0.0,1.0
2019-01-01 22:00:00,59.0,59.71,19.9,828.9,1.24,1.89,95.0,97.3,0.0,1.0
2019-01-01 23:00:00,59.0,61.82,19.09,828.79,0.64,1.04,115.7,124.58,0.0,1.0
2019-01-02 00:00:00,59.0,65.57,18.23,828.22,1.08,1.58,110.85,112.35,0.0,1.0
2019-01-02 01:00:00,59.0,64.97,17.91,827.55,1.2,1.67,113.75,117.1,0.0,1.0
2019-01-02 02:00:00,59.0,69.51,17.21,827.2,0.92,1.28,98.33,98.95,0.0,1.0
2019-01-02 03:00:00,59.0,70.65,16.85,827.23,0.7,0.96,94.43,92.72,0.0,1.0
2019-01-02 04:00:00,59.0,71.73,16.51,827.55,0.7,0.98,83.58,86.28,0.0,1.0
2019-01-02 05:00:00,59.0,74.12,15.88,828.03,0.54,0.82,76.08,89.08,0.0,1.0
2019-01-02 06:00:00,59.0,72.72,15.62,828.74,0.6,0.89,91.28,92.22,0.0,1.0
2019-01-02 07:00:00,59.0,68.41,16.32,829.53,1.01,1.32,109.08,112.97,0.0,1.0
2019-01-02 08:00:00,59.0,56.68,19.01,829.93,0.85,1.48,228.75,227.23,0.0,1.0
2019-01-02 09:00:00,59.0,49.52,21.2,829.76,0.81,1.43,184.78,180.37,0.0,1.0
2019-01-02 10:00:00,59.0,40.97,23.36,829.05,1.23,2.12,253.67,249.02,0.0,1.0
2019-01-02 11:00:00,59.0,33.14,25.1,828.14,2.27,3.42,268.78,275.03,0.0,1.0
2019-01-02 12:00:00,59.0,23.56,26.92,827.1,3.1,4.58,160.1,178.82,0.0,1.0
2019-01-02 13:00:00,59.0,21.78,27.22,826.05,4.74,6.41,58.97,57.73,0.0,1.0
2019-01-02 14:00:00,59.0,20.65,27.57,825.52,3.68,5.46,87.32,83.57,0.0,1.0
2019-01-02 15:00:00,59.0,20.2,27.79,825.3,2.72,4.26,101.62,108.33,0.0,1.0
2019-01-02 16:00:00,59.0,23.21,27.35,825.54,2.33,3.49,199.63,201.73,0.0,1.0
